Região,UF,Município,IFDM,Educação,Saúde,Emprego & Renda
Sudeste,SP,Águas de São Pedro,"0,8932","0,8413","0,8827","0,9556"
Sudeste,SP,São Caetano do Sul,"0,8882","0,8508","0,8238","0,9900"
Sul,PR,Curitiba,"0,8855","0,8394","0,8171","1,0000"
Sul,PR,Maringá,"0,8814","0,8452","0,7991","1,0000"
Sudeste,SP,Americana,"0,8813","0,8491","0,8246","0,9703"
Sul,PR,Toledo,"0,8763","0,8386","0,7970","0,9933"
Sul,PR,Marechal Cândido Rondon,"0,8751","0,8202","0,8188","0,9862"
Sudeste,SP,São José do Rio Preto,"0,8750","0,7996","0,8503","0,9750"
Sul,PR,Francisco Beltrão,"0,8742","0,8472","0,8156","0,9599"
Sudeste,SP,Indaiatuba,"0,8723","0,8222","0,8302","0,9646"
Sul,RS,Lajeado,"0,8680","0,7637","0,8411","0,9992"
Sudeste,SP,São Carlos,"0,8675","0,8483","0,7732","0,9811"
Sul,PR,Cianorte,"0,8652","0,7963","0,8456","0,9538"
Sul,PR,Dois Vizinhos,"0,8646","0,8258","0,7879","0,9800"
Sudeste,SP,Jundiaí,"0,8637","0,8617","0,7890","0,9403"
Sudeste,SP,Bebedouro,"0,8634","0,8218","0,7763","0,9922"
Sudeste,SP,Botucatu,"0,8622","0,8373","0,8052","0,9440"
Sul,RS,Campo Bom,"0,8617","0,7937","0,8363","0,9550"
Sul,PR,Campo Mourão,"0,8615","0,7955","0,8109","0,9782"
Sudeste,SP,São João da Boa Vista,"0,8602","0,8337","0,8230","0,9238"
Sul,RS,Ijuí,"0,8600","0,7827","0,8393","0,9580"
Sudeste,SP,Bragança Paulista,"0,8578","0,8195","0,7889","0,9649"
Sudeste,SP,São Bernardo do Campo,"0,8576","0,8323","0,8087","0,9319"
Sudeste,SP,Bauru,"0,8572","0,7895","0,8065","0,9756"
Sudeste,SP,Votuporanga,"0,8572","0,8533","0,7976","0,9208"
Sudeste,SP,Amparo,"0,8564","0,8341","0,8047","0,9305"
Sudeste,SP,Sorocaba,"0,8557","0,8473","0,7434","0,9764"
Sudeste,SP,Ouroeste,"0,8553","0,8844","0,7423","0,9393"
Sudeste,SP,Dracena,"0,8551","0,8709","0,7744","0,9200"
Sudeste,SP,Pontes Gestal,"0,8538","0,8591","0,8404","0,8619"
Sul,PR,Pato Branco,"0,8537","0,8029","0,7653","0,9928"
Sudeste,SP,Araras,"0,8534","0,8570","0,7815","0,9217"
Sudeste,SP,Atibaia,"0,8534","0,8322","0,7541","0,9739"
Sudeste,SP,Fernandópolis,"0,8533","0,8436","0,8477","0,8685"
Sudeste,SP,Campinas,"0,8529","0,7721","0,7886","0,9981"
Sul,PR,Itaipulândia,"0,8529","0,7836","0,8108","0,9643"
Sul,SC,São Bento do Sul,"0,8524","0,7869","0,7804","0,9899"
Sudeste,SP,Lençóis Paulista,"0,8519","0,8232","0,7396","0,9928"
Sul,PR,União da Vitória,"0,8514","0,8232","0,7828","0,9482"
Sudeste,SP,Catanduva,"0,8513","0,8392","0,7920","0,9226"
Sudeste,SP,Jaguariúna,"0,8513","0,8079","0,8376","0,9083"
Sul,PR,Palotina,"0,8512","0,8373","0,7481","0,9682"
Sul,RS,Carlos Barbosa,"0,8509","0,7819","0,8687","0,9022"
Sudeste,SP,São José dos Campos,"0,8497","0,8359","0,7576","0,9557"
Sudeste,SP,Presidente Prudente,"0,8490","0,8327","0,7910","0,9233"
Sudeste,SP,Itirapina,"0,8486","0,7462","0,8002","0,9994"
Sudeste,SP,Cerquilho,"0,8485","0,8166","0,7879","0,9411"
Sudeste,SP,Santo André,"0,8485","0,8009","0,7735","0,9710"
Sul,SC,Joaçaba,"0,8482","0,7370","0,8075","1,0000"
Sul,PR,Paranavaí,"0,8479","0,8386","0,7762","0,9290"
Sudeste,ES,Venda Nova do Imigrante,"0,8470","0,8596","0,8009","0,8804"
Sul,RS,Santa Rosa,"0,8467","0,7517","0,8101","0,9784"
Sudeste,SP,Marília,"0,8463","0,8212","0,7539","0,9639"
Sudeste,MG,Poços de Caldas,"0,8457","0,7419","0,8254","0,9697"
Sul,PR,Pinhais,"0,8453","0,7733","0,7908","0,9718"
Sul,SC,São Miguel do Oeste,"0,8452","0,7899","0,7547","0,9910"
Sudeste,SP,Itu,"0,8449","0,7986","0,7822","0,9538"
Sudeste,SP,Ribeirão Preto,"0,8447","0,7364","0,8002","0,9976"
Sudeste,SP,Olímpia,"0,8443","0,8748","0,6819","0,9762"
Sudeste,SP,Guararema,"0,8442","0,8229","0,8036","0,9060"
Sudeste,SP,Barueri,"0,8441","0,7955","0,7369","1,0000"
Sul,PR,Mandaguari,"0,8439","0,8503","0,7230","0,9584"
Sul,RS,Encantado,"0,8434","0,6987","0,8556","0,9759"
Sudeste,SP,Limeira,"0,8431","0,8315","0,7292","0,9685"
Sul,RS,Ivoti,"0,8430","0,7281","0,8086","0,9922"
Sul,SC,Jaraguá do Sul,"0,8429","0,7111","0,8280","0,9895"
Sul,PR,Apucarana,"0,8428","0,8370","0,7760","0,9154"
Sul,SC,Brusque,"0,8428","0,7122","0,8264","0,9898"
Sudeste,SP,Araraquara,"0,8424","0,8201","0,7343","0,9728"
Sudeste,SP,São Roque,"0,8423","0,7925","0,7773","0,9572"
Centro-Oeste,GO,Ceres,"0,8422","0,8770","0,7507","0,8990"
Sudeste,SP,Nova Aliança,"0,8421","0,8093","0,8143","0,9027"
Sudeste,SP,Jales,"0,8413","0,8649","0,7745","0,8845"
Sul,RS,Casca,"0,8410","0,7506","0,8380","0,9344"
Sudeste,SP,Adamantina,"0,8404","0,8306","0,7921","0,8984"
Sudeste,SP,Rio Claro,"0,8398","0,7976","0,7425","0,9794"
Sudeste,SP,Barretos,"0,8396","0,8237","0,7658","0,9292"
Sul,SC,Cocal do Sul,"0,8395","0,7347","0,8107","0,9731"
Sudeste,SP,Assis,"0,8394","0,8230","0,7740","0,9213"
Sul,PR,Cascavel,"0,8391","0,7711","0,7658","0,9803"
Sul,SC,Criciúma,"0,8390","0,7550","0,7780","0,9839"
Sudeste,SP,Piracicaba,"0,8377","0,8388","0,7434","0,9308"
Sul,RS,Gramado,"0,8375","0,6874","0,8251","1,0000"
Sudeste,SP,Itatiba,"0,8372","0,8114","0,7523","0,9478"
Sudeste,SP,Orindiúva,"0,8371","0,8024","0,8127","0,8963"
Sudeste,SP,Santa Cruz do Rio Pardo,"0,8370","0,8427","0,7276","0,9407"
Sul,RS,Montenegro,"0,8366","0,7513","0,8300","0,9285"
Sul,PR,Rio Negro,"0,8357","0,8491","0,7783","0,8798"
Sul,PR,Umuarama,"0,8353","0,7573","0,7984","0,9503"
Sul,RS,Morro Reuter,"0,8347","0,8112","0,7584","0,9345"
Sudeste,SP,Santa Clara d'Oeste,"0,8344","0,8553","0,7027","0,9451"
Sudeste,SP,Águas de Santa Bárbara,"0,8341","0,8113","0,8147","0,8763"
Sul,PR,Londrina,"0,8341","0,7681","0,7632","0,9709"
Sul,SC,Corupá,"0,8341","0,7179","0,8111","0,9733"
Sudeste,SP,Vinhedo,"0,8335","0,8277","0,7505","0,9224"
Sul,SC,Rio do Sul,"0,8334","0,7261","0,7783","0,9958"
Sul,PR,Cafelândia,"0,8331","0,8213","0,7441","0,9339"
Sul,RS,Veranópolis,"0,8327","0,7419","0,8357","0,9205"
Sudeste,SP,Cedral,"0,8326","0,7140","0,8145","0,9692"
Sudeste,SP,Junqueirópolis,"0,8326","0,9071","0,7172","0,8736"
Sul,RS,Farroupilha,"0,8322","0,7691","0,7365","0,9909"
Sul,SC,Pomerode,"0,8316","0,7659","0,7620","0,9668"
Sudeste,SP,Bernardino de Campos,"0,8315","0,7889","0,7858","0,9197"
Sul,PR,Ponta Grossa,"0,8315","0,7956","0,7388","0,9602"
Sudeste,SP,Andradina,"0,8314","0,8100","0,7454","0,9389"
Sudeste,SP,Araçatuba,"0,8314","0,8556","0,7214","0,9172"
Sul,RS,Picada Café,"0,8312","0,8084","0,7341","0,9511"
Sul,RS,Erechim,"0,8307","0,7489","0,7707","0,9726"
Sudeste,SP,Itapetininga,"0,8306","0,8061","0,7478","0,9380"
